priority,app_id,name,kind,category,shader,shader_exists,pubspec_declared,uniform_time_declared,time_code_refs,animation_class_guess,registry_status,registry_resolution
3,multibrot10,Multibrot¹⁰,escape_time,Escape-Time,shaders/escape_time_family/families/multibrot/multibrot10_gpu.frag,true,true,true,2,camera_or_raymarch_time_parametric,exact,multibrot10
3,multibrot11,Multibrot¹¹,escape_time,Escape-Time,shaders/escape_time_family/families/multibrot/multibrot11_gpu.frag,true,true,true,2,camera_or_raymarch_time_parametric,exact,multibrot11
3,multibrot12,Multibrot¹²,escape_time,Escape-Time,shaders/escape_time_family/families/multibrot/multibrot12_gpu.frag,true,true,true,2,camera_or_raymarch_time_parametric,exact,multibrot12
3,multibrot3,Multibrot d=3,escape_time,Escape-Time,shaders/escape_time_family/families/multibrot/integer_powers/multibrot3_gpu.frag,true,true,true,2,color_time_parametric,exact,multibrot3
3,multibrot4,Multibrot d=4,escape_time,Escape-Time,shaders/escape_time_family/families/multibrot/integer_powers/multibrot4_gpu.frag,true,true,true,2,color_time_parametric,exact,multibrot4
3,multibrot5,Multibrot d=5,escape_time,Escape-Time,shaders/escape_time_family/families/multibrot/multibrot5_gpu.frag,true,true,true,2,color_time_parametric,exact,multibrot5
3,multibrot6,Multibrot ⁶,escape_time,Escape-Time,shaders/escape_time_family/families/multibrot/multibrot6_gpu.frag,true,true,true,2,growth_process/time_parametric,exact,multibrot6
3,multibrot7,Multibrot ⁷,escape_time,Escape-Time,shaders/escape_time_family/families/multibrot/multibrot7_gpu.frag,true,true,true,2,camera_or_raymarch_time_parametric,exact,multibrot7
3,multibrot8,Multibrot ⁸,escape_time,Escape-Time,shaders/escape_time_family/families/multibrot/multibrot8_gpu.frag,true,true,true,2,camera_or_raymarch_time_parametric,exact,multibrot8
3,multibrot9,Multibrot⁹,escape_time,Escape-Time,shaders/escape_time_family/families/multibrot/multibrot9_gpu.frag,true,true,true,2,camera_or_raymarch_time_parametric,exact,multibrot9
3,multibrot_15,Multibrot d=1.5,escape_time,Escape-Time,shaders/escape_time_family/families/multibrot/multibrot_15_gpu.frag,true,true,true,2,color_time_parametric,exact,multibrot_15
3,multibrot_25,Multibrot d=2.5,escape_time,Escape-Time,shaders/escape_time_family/families/multibrot/multibrot_25_gpu.frag,true,true,true,2,color_time_parametric,exact,multibrot_25
3,multibrot_neg2,Multibrot d=-2,escape_time,Escape-Time,shaders/escape_time_family/families/multibrot/multibrot_neg2_gpu.frag,true,true,true,1,color_time_parametric,exact,multibrot_neg2
3,multijulia10,Multijulia¹⁰,escape_time,Escape-Time,shaders/escape_time_family/families/multijulia/multijulia10_gpu.frag,true,true,true,2,growth_process/time_parametric,exact,multijulia10
3,multijulia11,Multijulia¹¹,escape_time,Escape-Time,shaders/escape_time_family/families/multijulia/multijulia11_gpu.frag,true,true,true,2,growth_process/time_parametric,exact,multijulia11
3,multijulia12,Multijulia¹²,escape_time,Escape-Time,shaders/escape_time_family/families/multijulia/multijulia12_gpu.frag,true,true,true,2,color_time_parametric,exact,multijulia12
3,multijulia3,Multijulia ³,escape_time,Escape-Time,shaders/escape_time_family/families/multijulia/multijulia3_gpu.frag,true,true,true,2,camera_or_raymarch_time_parametric,exact,multijulia3
3,multijulia4,Multijulia ⁴,escape_time,Escape-Time,shaders/escape_time_family/families/multijulia/multijulia4_gpu.frag,true,true,true,2,color_time_parametric,exact,multijulia4
